acintyarūpāya hiraṇyaretase | **HV_App.I,42.598**31:25
acintyavikramaḥ śrīmān | HV_App.I,42B.1636a
acintyavibhavaṃ devaṃ | HV_App.I,31.2719a
acintyavibhave tasmai | *HV_48.16*599:9a
acintyavibhave tubhyaṃ | HV_App.I,13.75a
acintyavibhavo viṣṇuḥ | HV_App.I,31.1436a
acintyaś cāprameyaś ca | HV_App.I,29.759a
acintyaś cāprameyaś ca | HV_App.I,41.1976a
acintyaś cāvyayaś caiva | HV_App.I,41.607a
acintyasyāmitaujasaḥ | **HV_App.I,42B.2824**196:9b
acintyaṃ karma tac chrutvā | HV_65.5c
acintyaṃ guhyam uttamam | HV_App.I,42A.534b
acintyaṃ rūpam āsthāya | HV_65.38a
acintyaṃ vigataklamam | HV_App.I,42B.2550b
acintyaṃ śūlapāṇinam | HV_85.10d
acintyaṃ sarvabhūtānāṃ | HV_App.I,31.1033a
acintyaṃ sarvabhūtānāṃ | HV_App.I,31.1497a
acintyaḥ sa hi viśvātmā | HV_App.I,42B.2568a
acintyātmā sanātanaḥ | HV_App.I,41.444b
acintyāya sucintyāya | HV_App.I,31.1308a
acintyā hy aprameyāsi | HV_App.I,35.49a
acirād drakṣyase gopa | *HV_75.8*838:2a
acirād drakṣyase malla | *HV_75.8*838:5a
acirān narapater | *HV_9.95*194:1a
acirān no nṛkesarī | *HV_1.0*19:2b
acirān mahadadbhutaḥ | HV_App.I,42B.2391b
acirān mahadadbhutaḥ | **HV_App.I,42B.2392**146:23b
acirān mukhyatāṃ prāptau | HV_79.22c
acireṇaiva kālena | HV_App.I,18.77a
acireṇaiva kālena | HV_App.I,18.916a
acireṇaiva kālena | HV_App.I,31.2587a
acireṇaiva kālena | HV_79.6c
acireṇaiva kālena | HV_82.21c
acireṇaiva kālena | HV_86.41c
acchandena kriyeta yat | HV_App.I,29.229b
acchandena mahātmanaḥ | HV_App.I,29C.100b
acchinad brahmaṇaḥ śiraḥ | HV_App.I,31.884b
acchinna bhasmasātkṛtāḥ | HV_App.I,29C.184b
acchedyaṃ cāpi kārmukam | HV_App.I,31.2188b
acchedyaḥ śastrasaṃpātair | HV_App.I,31.420a
acchodaṃ nāma tad divyaṃ | HV_13.25c
acchodā nāma nimnagā | HV_13.25b
acyutaṃ kurunandana | HV_App.I,29.1245b
acyutaṃ bhītabhītavat | HV_109.38d
acyutaṃ madhusūdanam | *HV_85.60*977:2b
ajakas tasya cātmajaḥ | HV_App.I,6B.21b
ajakasya tu dāyādo | HV_App.I,6B.22a
ajakasya tu dāyādo | HV_23.81c
ajako nāma vīryavān | HV_23.81b
ajagandhakṛtonmuktaḥ | HV_App.I,41.1492a
ajagāma mahītalam | HV_62.2d
ajaghanyo jaghanyajaḥ | *HV_8.35*158:7b
ajapārśvas tato 'bhavat | HV_114.13b
ajapārśve kumārakam | *HV_114.13ab*1554b
ajamīḍhasya keśinyāṃ | *HV_23.52*366:21a
ajamīḍhasya keśinyāṃ | HV_23.75a
ajamīḍhasya dāyādo | HV_15.31a
ajamīḍhasya dhūminyāṃ | *HV_15.14*284:6a
ajamīḍhasya patnyas tu | HV_23.74a
ajamīḍhasya putrās tu | *HV_23.52*366:18a
ajamīḍhaḥ sameyivān | HV_23.106b
